category,text
정치,"북한이 4일 동해안 기습 화력훈련에 김정은 국무위원장이 직접 참석해 훈련을 지시했다고 공식 발표했다. 김 위원장이 화력훈련에 직접 참관했다는 소식을 발표하면서 군사도발 수위를 한 층 높였다는 분석이다. 한국 정부는 훈련에 이용된 무기를 ‘미사일’에서 ‘발사체’로 정정 발표했지만 전문가들은 공개된 사진을 바탕으로 ‘탄도 미사일’에 무게를 두고 있다. 북한은 국제사회의 비난을 피하기 위해 ‘방어부대’의 훈련이라는 점을 강조하며 나름의 탈출 전략도 세운 것으로 풀이된다. 5일 북한 노동신문은 김 위원장이 전날 동해에서 진행된 전연 및 동부전선 방어부대들의 화력 타격훈련을 지도했다고 밝혔다. 김 위원장에 대한 호칭은 위원장 외에도 ‘무력 최고사령관’과 ‘우리 당과 국가, 무력의 최고령도자’라고 언급했다. 신문은 “훈련은 대구경 장거리방사포, 전술유도무기 운영능력과 화력 임무 수행 정확성, 무장 장비들의 전투적 성능을 판정 검열하고 이를 계기로 경상적인 전투동원준비를 빈틈없이 갖추도록 하는 데 목적을 두고 진행됐다”고 설명했다. 이어 김 위원장이 감시소에서 “구경별 화력 타격수단들의 화력타격계획을 료해(확인 및 점검)하시고 대구경 장거리방사포들과 전술유도무기의 화력 진지진출과 전개를 비롯한 사격준비과정을 검열했다”고 덧붙였다."
정치,"국방부는 북한이 4일 오전 발사한 기종 미상의 단거리 발사체들에 대해 ""현재까지 분석한 결과, 신형 전술유도무기를 포함해 240㎜, 300㎜ 방사포를 다수 발사한 것으로 파악하고 있다""고 5일 밝혔다. 국방부는 이날 '북한의 단거리발사체 발사 관련 입장'을 통해 ""한미 정보당국은 어제 북한이 발사한 단거리발사체와 관련해 세부 탄종과 제원을 공동으로 정밀분석하고 있다""며 이같이 설명했다. 이 단거리 발사체들의 사거리는 70∼240여㎞로 평가했다. 이는 전날 합동참모본부가 이 발사체의 최대 사거리를 '최대 200㎞'로 추정한 것보다 40㎞가량 늘어난 것이다. 국방부는 또 발사지역으로부터 일정 거리 떨어진 지점에 관람대가 설치된 것으로 식별했으며, 이곳에서 김정은 북한 국무위원장이 참관하고 있었던 것으로 판단했다고 밝혔다. 군 당국은 신형 전술유도무기의 기종에 대해서는 신중한 태도를 유지하고 있다. 또 발사된 신형 전술유도무기가 모두 몇 발인지, 또 비행속도와 궤적이 어떠했는지 등에 대해서도 ""아직은 공식적으로 확인할 수 없다""고 밝혔다. 군 관계자는 이에 대해 ""외형은 작년 2월 북한 열병식 때 등장한 것과 유사한데 실제로 발사가 이뤄진 건 이번이 처음이어서 한미 정보당국의 정밀한 분석이 필요하다""며 분석 결과가 나올 때까지 '신형 전술유도무기' 입장을 유지하는 것이라고 설명했다."
정치,"문희상 국회의장이 오는 6일부터 2박3일 일정으로 중국을 공식 방문한다고 국회가 5일 밝혔다. 지난 2월 방미(訪美) 이후 '4강 의회 정상외교' 두 번째 일정으로, 지난 2일 서울대병원에서 심혈관계 시술을 받고 퇴원한지 4일 만이다. 이번 순방에는 더불어민주당 박병석·김진표·한정애·박정 의원, 바른미래당 하태경 의원, 박수현 의장비서실장 등이 함께한다. 한국당 의원들은 당내 사정을 이유로 불참 의사를 밝혔다. 문 의장은 방중 목적에 대해 ""현재 소강상태에 있는 북·미 간 대화가 조속히 재가동 될 수 있도록 의회 차원의 외교적 노력을 집중해야 한다""며 ""한반도의 완전한 비핵화와 항구적 평화 정착을 위한 한중 양국 간 협력을 강화할 예정""이라고 했다. 이어 ""한반도 평화 프로세스에서 중국의 건설적인 역할을 당부하고, 미세먼지 등 초(超) 국경적 이슈에 대한 협력 문제 등이 논의될 것""이라며 ""이번 방중은 국익을 위해 필요하며 시기적으로도 미룰 수 없다""고 했다. 또 ""한·중 FTA 후속협상, 대기오염 협력, 경제·통상·환경 분야에 있어서는 상호 신뢰를 바탕으로 한·중간 지속적인 대화와 협력의 필요성을 강조할 것""이라고 했다. 문 의장은 오는 6일 양제츠 중앙정치국 상무위원 겸 중앙외사공작위 판공실 주임과 면담을 하고 한인 동포들과 만찬 간담회를 갖는다. 7일에는 중국 내 한반도 전문가들과 조찬 간담회를 갖고 베이징대학교에서 '평화와 번영의 미래를 향한 한중의 역할'을 주제로 특강을 할 예정이다. 7일 오후에는 리잔수 전국인민대표대회(전인대) 상무위원장을 만나고 마지막 날인 8일은 왕치산 국가 부주석과 왕동명 전인대 상무위원회 부위원장을 만난다. 문 의장은 당초 4박 5일 일정으로 중국 베이징, 시안 등을 방문할 예정이었으나 건강을 고려해 일정을 단축했다. 문 의장은 지난달 말 국회에서 '패스트트랙(신속처리안건)'과 관련해 자유한국당 의원들의 항의 방문을 받은 직후 입원, 서울대병원에서 심혈관계 시술을 받고 지난 2일 퇴원했다. 한편 문 의장은 지난 4일 박관용·김원기·임채정·김형오·정세균 전 국회의장과 만찬 회동을 가진 자리에서 국회에서 있었던 패스트트랙 충돌에 대해 ""자책감, 자괴감이 든다. 국회의장으로서 막지 못해 이루 말할 수 없이 송구한 마음""이라며 ""100년 전 구한말 지도자들이 사분오열 나라를 빼앗겼는데, 그때와 지금이 다를 것이 없다는 위기감이 엄습해왔다""고 말했다."
정치,"어린이날을 맞은 5일, 국회에서는 여야 모두 논평을 통해 ""어린이들이 살기 좋은 세상을 만들겠다""는 다짐을 밝혔다. 더불어민주당은 이날 ""앞으로 '안심하고 아이 키울 수 있는 나라'를 만들기 위해 더 많은 노력을 기울일 것""이라며 ""유아교육법, 사립학교법, 학교급식법 개정 등 '유치원 3법'을 반드시 통과시켜 사립유치원의 공공성과 투명성을 보다 강화하고 유아교육의 질을 높일 것""이라고 했다. 이어 ""우리 사회에서는 어린이 안전사고 및 아동학대 사건이 지속적으로 발생하는 등 여전히 많은 아이들이 국가와 사회로부터 충분한 보호를 받지 못하고 있는 현실""이라며 ""국공립 유치원 및 아동복지시설의 확충과 종사자 처우 개선을 위해서도 지속적으로 노력하고, 돌봄의 사각지대에 방치된 아이들이 없도록 정책적 관심도 기울이겠다""고 약속했다. 자유한국당 또한 ""아이들의 눈에 비친 우리 사회가 정의롭고 공정하며 친절과 배려가 있는 세상이길 바란다""며 ""가정, 공동체, 국가는 어린이들이 더 좋은 환경에서 자랄 수 있도록 머리를 맞대고 함께 노력해야 한다. 우리 어린이들을 질병, 빈곤, 폭력으로부터 안전하게 보호하는 것은 사회 모두의 책임이자 신성한 의무""라고 강조했다. 또 ""어느 한 명의 아이도 소외받고 고통 받아서는 안 된다""며 ""소중한 한 생명체로서 아이들의 존재가 그 자체로 귀하게 대우받을 수 있도록 아이들이 행복한 나라, 안심하고 아이를 키울 수 있는 나라를 자유한국당이 만들겠다""고 덧붙였다. 바른미래당은 ""우리나라 어린이의 학업성취도와 물질적 수준은 세계 최상위권이지만 행복만큼은 진전이 더디다. 어른들의 욕망에 따라 어린이를 불행 속으로 내밀고 있는 것은 아닌지 되돌아봐야 한다""고 지적했다. 아울러 ""우리의 미래 세대가 바른 성장을 하기 위해서는 어른들의 하나된 마음과 노력이 필요하고, 교육과 주거 등 제반 조건 개선 또한 아이들의 행복을 위해 반드시 필요하다""며 ""어린이가 안전하고 존중 받는 세상, 꿈꿀 수 있는 세상을 만들기 위해 바른미래당이 앞장서겠다""고 했다. 민주평화당도 논평을 내 ""밝고 행복해야 할 어린이집과 유치원이 영리의 수단으로 전락해 심심찮게 문제를 야기하고 있다. 어린이들 보기 부끄럽다""며 ""미세먼지와 아동학대 없는 세상, 국가가 보육과 교육을 책임지는 나라를 만들기 위해 최선의 노력을 다하겠다""고 전했다. 정의당은 ""아이를 낳으려면 큰 결심을 해야 하고, 출산을 주저해야 하는 현실 앞에서 정치적 책임을 무겁게 느낀다""며 ""어린이의 행복은 가족이 있는 노동, 가족을 지킬 수 있는 노동환경과 직결된다. 정의당이 국가가 책임지는 보육을 강조해온 이유이며 정책 실현을 위해 앞으로도 노력할 것""이라고 강조했다."
정치,"이낙연 국무총리가 4일(현지시간) 북한이 발사한 단거리 발사체와 관련해 ""대한민국 정부도 미국 정부도 북한 비핵화와 한반도 평화정착을 위한 노력을 결코 포기하지 않을 것""이라며 ""한반도 비핵화와 평화정착 과정에는 곡절이 있을 수 있다""고 밝혔다. 콜롬비아를 공식방문 중인 이 총리는 이날 동포·지상사 대표 초청 만찬간담회에서 ""우리시간으로 어제 북한이 동해쪽으로 발사체를 쐈다. 재원이나 성격에 대해서는 한미 양국이 분석 중에 있다""며 이같이 말했다. 이 총리는 한반도 비핵화 문제를 '만절필동(萬折必東)'이라 비유했다. 만절필동은 황하강이 수없이 구부러져도 결국 동쪽으로 흘러간다는 뜻이다. 이 총리는 ""우리가 가는 길, 가야하는 길은 평화와 공동번영이다. 그리고 그것을 위한 당연한 과정이 비핵화라는 점은 변화가 있을 수 없다""며 ""서울에서도 이러한 기조로 임하고 있고 노력은 결코 흔들리고 후퇴하지 않을 것이라는 말씀을 여러분께 드린다""고 말했다. 지난달 30일부터 쿠웨이트와 콜롬비아, 에콰도르 순방길에 오른 이 총리는 이날 두번째 공식방문국인 콜롬비아 보고타에 도착했다. 한국 국무총리로서는 1982년 김상협 당시 국무총리 방문 이후 37년만이다. 이 총리는 포르투갈 리스본 현지에서 북한과 관련한 보고를 받았고, 콜롬비아 도착 후에는 수행 중인 조현 외교부 1차관으로부터 구체적인 보고를 받았다. 이 총리는 조정 가능한 현지 일정은 최소화하며 국내 상황을 주시하고 있다."
정치,"김무성 자유한국당 의원의 ""청와대를 폭파시키자""는 극단적 발언이 물의를 일으킨 가운데 그에 대한 처벌을 요구하는 청와대 국민청원이 10만명을 돌파했다. '김무성 전 의원을 내란죄로 다스려주십시오'라는 제목으로 청와대 국민청원 게시판에 올라온 게시글은 5일 오후 1시24분 현재 청원인원 10만8743명을 기록 중이다. 청원인은 ""현직 국가 수장의 집무·주거 공간을 다이너마이트로 폭파하겠다는 발언이 내란이 아니라면 역으로 어떤 행위가 내란이 될지 되묻지 않을 수 없다""며 ""국가의 기강을 이번 기회에 반드시 바로잡아야 하다""고 주장했다. '자한당 김무성 의원 내란 선동죄로 처벌해주세요'라는 제목의 다른 국민청원도 같은 시간 7만1511명의 청원 동의를 받았다. 정부와 청와대는 국민 청원 동의자가 30일 내에 20만명을 넘을 경우 이에 대한 공식 답변을 내놓아야 한다. 앞서 지난 2일 김 의원은 4대강 보(洑) 철거를 반대하는 단체인 '4대강 보 해체저지 범국민연합(4대강 국민연합)'이 서울역 광장에서 개최한 행사에서 ""4대강 보 해체를 위한 다이너마이트를 빼앗아 문재인 청와대를 폭파시켜 버리자""고 주장했다. 여야 4당은 일제히 비판을 쏟아냈다. 더불어민주당 홍익표 수석대변인은 전날 논평에서 ""청와대를 향해 다이너마이트로 폭파하겠다는 김 의원의 극언에 대해 국민 여론이 들끓고 있다""며 ""황교안 대표에게 묻겠다. 다이너마이트로 청와대를 폭파하자고 백주 대낮에 테러를 선동한 김 의원의 극언에 대한 입장은 무엇이냐""고 물었다."
정치,"김정은 북한 국무위원장이 4일 신형 전술유도무기 타격 훈련을 지도하면서 취임 2주년을 코앞에 둔 문재인 대통령의 한반도 중재 역할도 험로에 놓였다. 북한의 단거리 발사체 발사 소식이 있자 청와대는 9·19 군사합의 취지에 어긋나는 것으로 규정하면서도 최대한 '로우키' 자세로 신중하게 상황을 주시했다. 발사체의 정체가 불분명하고 북한의 발사 의도가 명확하게 파악되지 않은 상황에서 섣불리 규탄 메시지를 발신하기보다, 그 내막을 더 들여다보기 위한 취지에서다. 고민정 대변인은 서면브리핑을 통해 ""북한이 한반도에서의 군사적 긴장을 고조시키는 행위를 중단할 것을 촉구한다""면서도 ""비핵화 관련 대화가 소강 국면인 상태에서 이런 행위를 한 데 대해 주목하면서, 북한이 조속한 대화 재개 노력에 적극 동참할 것을 기대한다""고 촉구했다. 불가역적이라고 자언해온 한반도 평화 프로세스의 역진 가능성이 이번 도발을 계기로 도드라지면서, 이튿날인 5일까지도 청와대는 메시지를 삼가고 진상 파악에 주력하고 있다. 청와대 관계자는 ""오늘까지도 계속 회의를 열고 상황을 알아보고 있는 중""이라고 말했다. 다만 하노이 회담 후 대화 창구를 닫고 대남 비판 메시지를 확대해온 북한이 미사일 발사 장면까지 대외적으로 공개하면서 청와대 내부에서는 당혹스러워하는 분위기가 감지된다. 특히 그간 해외 순방을 돌며 힘겹게 김 위원장의 비핵화 의지를 대리 피력해온 문 대통령의 입장에선 힘 빠지는 소식이 아닐 수 없을 것이다. 또 오는 10일 집권 2년차를 마감하고 3년차로 접어드는 문 대통령에게 앞으로의 중재 및 촉진 역할도 간단치 않다는 것을 다시 한 번 상기시키는 계기가 됐을 것으로 보인다. "
정치,하태경 바른미래당 의원은 청와대가 북한이 발사한 ‘미사일’을 ‘발사체’로 바꾸도록 국방부에 압력을 가했다는 의혹이 있다고 5일 주장했다. 하 의원은 이날 페이스북을 통해 “북한이 유엔 결의 위반인 탄도 미사일을 쏜 것이 결국 확인됐다”며 이같이 말했다. 하 의원은 “국방부가 전날 오전 9시40분 북한이 단거리 미사일을 발사했다고 발표하더니 같은날 오전 10시14분 문자에는 ‘단거리 발사체’로 바꿨다”며 “미사일이라고 규정하면 유엔 안보리 결의 위반이 돼 북한을 봐주려고 청와대가 압력을 가한 게 아니냐는 의혹이 생겨난 것”이라고 했다. 하 의원은 “누가 압력을 가했는지 명확히 밝혀야 한다”며 “청와대 압력이 아니면 국방부 입장이 바뀔 리가 없다”고 주장했다. 하 의원은 또 ‘북한판 이스칸다르(ISKANDER)’로 알려진 단거리 지대지 탄도 미사일 사진을 공개하며 사드(THAAD·고고도 미사일 방어체계) 무력화가 주요 목적이라고 말했다. 그는 “이 미사일은 고체연료를 사용하는 탄도 미사일”이라며 “다양한 비행궤도와 최종단계에 진입 각도를 변화시킬 수 있는 유도무기라서 사드 등 미사일 방어체제를 무력화할 수 있다”고 했다. 하 의원은 “(북한의) 어제 도발은 ‘4·27 선언’ 중 2조 1항 위반이고 유엔 결의 위반”이라면서도 “북한은 자체 훈련이라고 우긴다”고 밝혔다. 그러면서 “북한의 어제 도발로 우리도 한미 군사훈련을 정례화하고 강도 높은 훈련을 할 것을 선언해야 한다”고 주장했다.
정치,"“9·19 군사합의를 성실하게 이행하라”는 문재인 대통령의 발언이 나온지 불과 하루 만에 북한이 동해로 ‘전술유도무기’를 발사하고, 이 발사 현장을 김정은 북한 국무위원장이 직접 참관한 것으로 전해지며 한반도의 군사적 긴장이 다시 고조되는 분위기다. 자유한국당 등 야권은 이른바 ‘포스트 패스트트랙(신속처리안건)’ 정국에서 이 사안을 현 정부 대북정책을 비판할 근거로 적극 활용할 방침이어서 청와대 입지는 더욱 곤혹스럽게 됐다."
정치,"문재인 대통령과 부인 김정숙 여사가 5일 제97회 어린이날을 맞아 지난달 강원지역 산불 진화작업에 투입된 소방관, 군인, 경찰관 자녀 등을 초청해 격려했다. 문 대통령은 이날 산불 피해지역 초등학교 학생들과 지난달 5일 문 대통령 참석 식목일 행사가 열릴 예정이었던 경북 봉화 서벽초등학교 학생 등 256명을 청와대로 초청했다. 당시 식목일 행사는 산불 여파로 취소됐다. 문 대통령은 3·1운동 및 임시정부 수립 100주년을 기념해 독립유공자 후손 가정의 어린이와 한 부모·미혼모·다문화·다둥이 가정 어린이, 국공립 어린이집 및 유치원에 다니는 어린이, 온종일 돌봄 이용 아동 등도 초청했다. 행사에는 대구 시립 소년소녀어린이 합창단 어린이들도 참석했다. 문 대통령이 지난 3월 대구에서 열린 ‘세계 물의 날’ 기념식에 참석했을 때, 합창단 소속 한 여학생은 문 대통령에게 귓속말로 청와대에 초청해달라고 부탁한 바 있다. 청와대에서 어린이들을 먼저 맞은 것은 육·해·공군과 해병대, 경찰, 소방관 마스코트 인형과 군악대였다. 군악대는 어린이들이 좋아하는 그룹 아이콘의 ‘사랑을 했다’를 연주해 눈길을 끌었다. 잘 아는 곡이 나오자 어린이들은 신이 나 노래를 흥얼거리며 반겼다."
연예,"SBS 금토극 ’녹두꽃’은 1894년 동학농민혁명을 배경으로 한 민중역사 사극으로, 주된 배경인백가네 일가를 비롯해 등장인물 대부분이 사투리를 쓰는 것이 특징이다. 백가네 안방마님이자 이현(윤시윤)과 이화(백은혜)의 생모 ‘채씨’ 역을 맡은 황영희는 감칠맛 나는 연기와 단연 돋보이는 전라도 사투리로 이강(조정석 분)과 유월(서영희 분)의 신세를 더욱 서럽게 만들며 시청자들의 애정 어린 미움(?)을 받고 있다. 이번 주 ‘녹두꽃’ 방송에서도 자신이 낳은 자식들에게는 더없이 다정하지만 ‘얼자’ 이강과 그 어머니 유월에게만은 냉정하고 인색한 채씨의 모습이 그려졌다. 고부민란으로 집을 떠나 고초를 겪고 돌아온 백가가 유월에게 안부를 묻자 채씨는 “종년헌티 겁나게 다정해부요이. 으째, 아랫도린 깨꼬롬헌갑소이?”하며 눈을 흘겼다. 이강에게도 “머더는 늠인디 어러신 건사 한나 지대로 못혀서 이현이꺼정 심쓰게 맹글었냐고오!”라고 소리치고, 백가가 이를 말리자 “나가 고만허게 생겼소! 이현이가 과거를 못 봐부렀는디!”라고 대꾸하며 이현에 대한 끔찍한 모성애를 드러냈다. 또 이방 자리를 내친 이강의 소식을 듣고는 “거시기 맘 변허기 전에 홍가럴 이방으로 앉힙시다”라며 호시탐탐 이강과 유월을 내쫓으려고 했다. 혼례를 앞두고 최석주가 보낸 날받이 떡을 먹기 위해 다 모인 자리에서도 유월과 이강이 들어오자 이화는 버럭 화를 내고, 채씨는 입을 꾹 다문 채 불편한 기색을 감추지 않았다. 아무말도 안 하는 채씨에게 이화는 “오매, 보살이여이. 이현이 낳기 전이 겪은 설움 다 까묵어부렀디야? 나넌 구경만 헌 년인디도 가심에 피고름이 서말이여!”라고 소리쳤다. 이에 채씨는 “나넌 처묵은 양잿물이 서말이여, 이 년아!”라며 자신이 이현을 낳기 전까지 가슴앓이 했던 시간이 떠오른 듯 북받치는 울음을 삼켰다. 이현의 혼례를 앞두고 폐허가 된 집안을 꾸미기 위해 새 가구를 들이는 채씨와 이화의 모습도 그려졌다. 채씨는 “오매, 이화야. 느그 엄니, 정승 소리만 듣고 흘렸는디도 기 빨려 디질라근다. 으쩌냐이?”라며 들뜬 모습을 드러냈다. ‘녹두꽃’을 통해 제대로 된 ‘전라도 사투리 전문가’의 위엄을 보이고 있는 황영희는 고약한 안방마님부터 다정한 어머니를 오가며, 백가네 안방마님 ‘채씨’를 더욱 입체적인 캐릭터로 완성해 시청자들의 호평을 받고 있다. ‘녹두꽃’은 매주 금, 토요일 오후 10시에 방송된다. "
연예,"5일 한 매체는 승리가 JM솔루션을 판매하는 회사 K모 대표와 친분을 유지해왔고, 지난 1월 함께 설립한 JM타원 공동대표(사내이사)를 맡았다고 보도했다. 보도에 따르면 JM타운은 JM솔루션과 같은 건물에 입주해있는 관계사로, 오픈마켓과 프랜차이즈 사업 등 대규모 사업을 준비 중이었다. JM타운은 승리의 별명인 '승츠비' 상표권을 소유하기도 했다. 승리는 버닝썬 게이트가 터진 뒤 지난 2월 JM타운 사내 인사를 사임했다. 승리가 사임한 사내이사 자리에는 박한별 남편인 유인석 씨가 새롭게 취임했다. 지난 4일 SBS '그것이 알고싶다' 방송 이후 JM솔루션은 버닝썬 게이트의 새로운 화두로 떠올랐다. 김상교 씨가 폭행 당한 당일 버닝썬에서는 한 화장품 회사의 행사가 열렸고, 이 자리에서 한 30대 여배우가 침을 흘리고 눈이 충혈된 채 야광봉으로 40대, 50대 사람의 머리를 때리는 이상 행동을 보였다는 내용이 전해졌다. 해당 화장품 회사는 JM솔루션으로 밝혀졌다. 이와 함께 정은채, JM솔루션 모델로 활동 중인 30대 배우 한효주가 '버닝썬 화장품 여배우'로 거론되며 의혹이 증폭됐다. 의혹이 SNS상에서 기정사실화되자 한효주와 정은채 양측은 ""사실무근""이라며 루머에 대해 강경 대응할 것을 밝혔다."
